Class,BLEU4_Mean,BLEU4_Std,Sample_Count,Accuracy,F1_Score,Precision,Recall
airliner,0.26099412150964457,0.3642906419371505,30,0.9333333333333333,0.9491525423728814,0.9655172413793104,0.9333333333333333
bikini,0.34141892877585506,0.36907307882910917,30,0.9333333333333333,0.9491525423728814,0.9655172413793104,0.9333333333333333
african_grey,0.17294608603315545,0.2524217682064921,30,0.9333333333333333,0.9491525423728814,0.9655172413793104,0.9333333333333333
bullet_train,0.23774134032920732,0.23268538086014948,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
bald_eagle,0.39125934134121765,0.33600138976722893,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
balloon,0.3757136434637201,0.3872649830274095,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
carpenter_s_kit,0.3849273620048336,0.27915961402514194,30,0.9,0.9310344827586207,0.9642857142857143,0.9
cassette,0.3024543588146907,0.3529164425294882,30,0.9,0.9310344827586207,0.9642857142857143,0.9
airship,0.19277109975321602,0.32015824977744434,30,0.9,0.9310344827586207,0.9642857142857143,0.9
bubble,0.24777421512254516,0.25613440468730037,30,0.8666666666666667,0.9285714285714286,1.0,0.8666666666666667
agaric,0.3055780974569082,0.3878426912550333,30,0.8666666666666667,0.9285714285714286,1.0,0.8666666666666667
alps,0.3750033980696799,0.3994147974971289,30,1.0,0.9230769230769231,0.8571428571428571,1.0
american_lobster,0.2378892834619238,0.24949094674884967,30,0.9333333333333333,0.9180327868852459,0.9032258064516129,0.9333333333333333
alligator_lizard,0.1762984673480786,0.24924051585993676,30,0.8666666666666667,0.9122807017543859,0.9629629629629629,0.8666666666666667
african_chameleon,0.13155318086480203,0.23042433926293107,30,0.8666666666666667,0.9122807017543859,0.9629629629629629,0.8666666666666667
bobsled,0.3458224372918696,0.32767457983360776,30,1.0,0.9090909090909091,0.8333333333333334,1.0
bathtub,0.24025512702136384,0.2765075733252069,30,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334
bagel,0.26558981895907946,0.35331815116648446,30,0.9666666666666667,0.90625,0.8529411764705882,0.9666666666666667
arabian_camel,0.22292884902233603,0.17818719788978887,30,0.9,0.9,0.9,0.9
black_and_gold_garden_spider,0.3919511861139829,0.22668887853501818,30,0.9,0.9,0.9,0.9
