Class,BLEU4_Mean,BLEU4_Std,Sample_Count,Accuracy,F1_Score,Precision,Recall
artichoke,0.38152829222060725,0.36481206663871263,30,1.0,1.0,1.0,1.0
american_coot,0.2630718058410578,0.2721215318805469,30,1.0,1.0,1.0,1.0
basketball,0.19513618036439356,0.249131734038453,30,1.0,1.0,1.0,1.0
anemone_fish,0.2992377330550545,0.2833940295611487,30,1.0,1.0,1.0,1.0
admiral,0.17169018751748052,0.26978948018944304,30,1.0,0.9836065573770492,0.967741935483871,1.0
bullet_train,0.2404759501227167,0.2305397229996766,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
african_elephant,0.16841285511883625,0.20612483921778238,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
airedale,0.10993984314042218,0.21449653447428751,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
brown_bear,0.19252209066238915,0.09625882357433926,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
beacon,0.32207497718242,0.3319985631569043,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
airliner,0.2899290279618869,0.37917087058437665,30,1.0,0.967741935483871,0.9375,1.0
albatross,0.23817784158110575,0.36080655222390096,30,1.0,0.967741935483871,0.9375,1.0
bagel,0.2889621078026462,0.3715513465791914,30,1.0,0.967741935483871,0.9375,1.0
american_black_bear,0.28921641293287076,0.27206203031894366,30,1.0,0.967741935483871,0.9375,1.0
airship,0.19888225313038796,0.3088641822528483,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
car_wheel,0.2666044263177703,0.17117075204141935,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
bullfrog,0.37624578326673513,0.3907928872490539,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
american_staffordshire_terrier,0.16926687425786902,0.17934500468037531,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
american_lobster,0.17111683788505738,0.24678623656148638,30,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333
arctic_fox,0.25280256204763224,0.2034926649584491,30,1.0,0.9523809523809523,0.9090909090909091,1.0
alps,0.3251486849648101,0.388061868944871,30,1.0,0.9523809523809523,0.9090909090909091,1.0
ambulance,0.2653700811021063,0.3874075591104415,30,1.0,0.9523809523809523,0.9090909090909091,1.0
bikini,0.3186344040501041,0.35610722694664554,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
bubble,0.2951072918351373,0.297754705239733,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
bobsled,0.36012366906304927,0.34183189625161264,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
banana,0.19166397541829333,0.22829271668188275,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
arabian_camel,0.2672070830204519,0.21597840127761606,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
barracouta,0.3770265744725194,0.3740213486571048,30,0.9333333333333333,0.9491525423728814,0.9655172413793104,0.9333333333333333
bald_eagle,0.37803860962743424,0.34190374789208505,30,0.9,0.9473684210526315,1.0,0.9
birdhouse,0.2322977516353929,0.2302276286870668,30,0.9,0.9473684210526315,1.0,0.9
african_crocodile,0.1652029265093616,0.25513569798934566,30,1.0,0.9375,0.8823529411764706,1.0
balloon,0.38187834587366043,0.3998726517621667,30,0.9666666666666667,0.9354838709677419,0.90625,0.9666666666666667
african_grey,0.19293996628882273,0.2881964429340377,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
beaker,0.4763788559745349,0.411525112346795,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
black_and_gold_garden_spider,0.36857035703748925,0.1627393488340245,30,0.9,0.9310344827586207,0.9642857142857143,0.9
analog_clock,0.23824863548339745,0.3146478940162456,30,0.9,0.9310344827586207,0.9642857142857143,0.9
cassette,0.3070958497117192,0.34168115280177064,30,0.9,0.9310344827586207,0.9642857142857143,0.9
agama,0.12228500762005767,0.18015652910949106,30,0.9333333333333333,0.9180327868852459,0.9032258064516129,0.9333333333333333
agaric,0.314006826743588,0.3868431482561788,30,0.9,0.9152542372881356,0.9310344827586207,0.9
bolete,0.2218267570518421,0.22304076985695798,30,0.9,0.9,0.9,0.9
carpenter_s_kit,0.384559205295113,0.2940596033371267,30,0.8666666666666667,0.896551724137931,0.9285714285714286,0.8666666666666667
bathtub,0.21060992326991396,0.2701609400273532,30,0.8666666666666667,0.896551724137931,0.9285714285714286,0.8666666666666667
african_chameleon,0.16080407320326992,0.24958619652335315,30,0.9666666666666667,0.8923076923076924,0.8285714285714286,0.9666666666666667
breastplate,0.24225528919247424,0.3223144944421052,30,0.9,0.8852459016393442,0.8709677419354839,0.9
bulletproof_vest,0.35217642509385516,0.3363689942876189,30,0.8333333333333334,0.8771929824561403,0.9259259259259259,0.8333333333333334
binoculars,0.10283339685996598,0.19228551427946383,30,0.7666666666666667,0.8679245283018868,1.0,0.7666666666666667
candle,0.19180386969625599,0.24251392830332436,30,0.7666666666666667,0.8679245283018868,1.0,0.7666666666666667
bow,0.1398756107746248,0.1925840861205606,30,0.8,0.8571428571428571,0.9230769230769231,0.8
alligator_lizard,0.1875915635913478,0.27968603245897106,30,0.8666666666666667,0.8524590163934426,0.8387096774193549,0.8666666666666667
barrel,0.12728154862798224,0.20786141028522231,30,0.8,0.8421052631578947,0.8888888888888888,0.8
american_chameleon,0.18354218974560907,0.2743689101635338,30,0.7666666666666667,0.8214285714285714,0.8846153846153846,0.7666666666666667
assault_rifle,0.3677752645709439,0.3633534828412987,30,0.8666666666666667,0.8125,0.7647058823529411,0.8666666666666667
backpack,0.07480862142525226,0.041841865435654504,30,0.9,0.7941176470588235,0.7105263157894737,0.9
spider,0.38749404556818773,0.3516551769284632,30,0.7666666666666667,0.7931034482758621,0.8214285714285714,0.7666666666666667
bucket,0.1440761410600384,0.2382984912535895,30,0.6666666666666666,0.6896551724137931,0.7142857142857143,0.6666666666666666
ant,0.31830206288677376,0.33802746957617735,30,0.8333333333333334,0.5102040816326531,0.36764705882352944,0.8333333333333334
bee,0.17127306546031162,0.24395296842476533,30,0.9333333333333333,0.4666666666666667,0.3111111111111111,0.9333333333333333
beer_glass,0.3817553419927888,0.3273965280734648,30,0.0,0.0,0.0,0.0
cannon,0.43531080220719187,0.38748390810188915,30,0.0,0.0,0.0,0.0
beer_bottle,0.37147503716812813,0.23930760935909523,30,0.0,0.0,0.0,0.0
