Class,BLEU4_Mean,BLEU4_Std,Sample_Count,Accuracy,F1_Score,Precision,Recall
admiral,0.1716440165953688,0.23169556588130052,30,1.0,1.0,1.0,1.0
bubble,0.34247772270077614,0.33499134769300526,30,1.0,1.0,1.0,1.0
airedale,0.12602406806128846,0.21653415284564018,30,1.0,1.0,1.0,1.0
bullfrog,0.4291507998381121,0.40058241906314784,30,1.0,0.9836065573770492,0.967741935483871,1.0
american_coot,0.24233362411617257,0.2637609050627651,30,1.0,0.9836065573770492,0.967741935483871,1.0
beacon,0.36546267555405443,0.35754198284422295,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
anemone_fish,0.2848952063589707,0.2667062231141739,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
barracouta,0.37769394604270634,0.3733973925849069,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
bullet_train,0.24128579032695588,0.22979853704014025,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
african_elephant,0.17624965890196284,0.20493243340879636,30,1.0,0.967741935483871,0.9375,1.0
albatross,0.2952796651366726,0.38989280180776154,30,1.0,0.967741935483871,0.9375,1.0
alps,0.37580439734158294,0.39201735606862864,30,1.0,0.967741935483871,0.9375,1.0
ambulance,0.27993705953653875,0.38988686988296983,30,1.0,0.967741935483871,0.9375,1.0
american_black_bear,0.2937251565858209,0.295934079983365,30,1.0,0.967741935483871,0.9375,1.0
car_wheel,0.37855164817364945,0.27879330902504074,30,1.0,0.967741935483871,0.9375,1.0
bikini,0.3694464774622751,0.37588259883090586,30,1.0,0.967741935483871,0.9375,1.0
bald_eagle,0.40110552829887586,0.32803794692138816,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
arctic_fox,0.2592311142213628,0.20726270234449878,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
basketball,0.19480423871003547,0.2491353502512598,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
brown_bear,0.2162358501815477,0.1614325000565359,30,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333
airliner,0.27267550592222684,0.381636689602356,30,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333
artichoke,0.35682877999964574,0.3633970150652089,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
bagel,0.2925031528101589,0.35218292380170935,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
american_lobster,0.2752780794725987,0.28012376008015594,30,0.9333333333333333,0.9491525423728814,0.9655172413793104,0.9333333333333333
african_crocodile,0.1628190610323988,0.2550293763544206,30,0.9333333333333333,0.9491525423728814,0.9655172413793104,0.9333333333333333
african_grey,0.2074036985058251,0.32018461428249473,30,0.9,0.9473684210526315,1.0,0.9
arabian_camel,0.25086999772686613,0.19193652282944276,30,0.9,0.9473684210526315,1.0,0.9
agama,0.13360725982122362,0.17728686054580453,30,0.9666666666666667,0.9354838709677419,0.90625,0.9666666666666667
american_staffordshire_terrier,0.1652483994996972,0.12891014563854744,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
airship,0.20714791085140724,0.307575824331994,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
birdhouse,0.22158234127173168,0.21693424163691544,30,0.9,0.9310344827586207,0.9642857142857143,0.9
banana,0.19074369919356884,0.2512002929289175,30,0.9,0.9310344827586207,0.9642857142857143,0.9
