Class,BLEU4_Mean,BLEU4_Std,Sample_Count,Accuracy,F1_Score,Precision,Recall
admiral,0.1455642768958508,0.22834699051431842,30,1.0,1.0,1.0,1.0
alps,0.3478718582697034,0.3926874054971606,30,1.0,1.0,1.0,1.0
albatross,0.2395788662065536,0.3601676446617322,30,1.0,1.0,1.0,1.0
bobsled,0.35999157974730955,0.3419381484679247,30,1.0,0.9836065573770492,0.967741935483871,1.0
american_coot,0.22967226973464017,0.22127875396905708,30,1.0,0.9836065573770492,0.967741935483871,1.0
american_black_bear,0.2451242861843569,0.22994380830910457,30,1.0,0.9836065573770492,0.967741935483871,1.0
bikini,0.369422804109352,0.3759050282719392,30,1.0,0.9836065573770492,0.967741935483871,1.0
basketball,0.16994221885560773,0.21493572340843387,30,1.0,0.9836065573770492,0.967741935483871,1.0
bullfrog,0.4287849830401902,0.39979126901817225,30,1.0,0.9836065573770492,0.967741935483871,1.0
arctic_fox,0.2392244797753019,0.16848411035040078,30,1.0,0.9836065573770492,0.967741935483871,1.0
anemone_fish,0.26020614116683305,0.2166386651931337,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
bubble,0.24858607215291534,0.2530767989940495,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
african_elephant,0.18773346800255497,0.24165715152407866,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
artichoke,0.38152829222060725,0.36481206663871263,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
brown_bear,0.2544403521344768,0.20941426227960028,30,1.0,0.967741935483871,0.9375,1.0
car_wheel,0.3454874174571536,0.26648583835180745,30,1.0,0.967741935483871,0.9375,1.0
balloon,0.4095152086637487,0.40483269346516454,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
bald_eagle,0.389425798895454,0.3202008225662223,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
banana,0.1665954888955478,0.16740544332063248,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
airedale,0.08428979736902247,0.15833213534219162,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
african_grey,0.17051354922306186,0.25651873869479674,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
bagel,0.2666242040073016,0.35399085755576964,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
beacon,0.38889038830977013,0.38593143654049994,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
airship,0.09546227224385467,0.1699346265698864,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
american_staffordshire_terrier,0.18552340849981963,0.2198669416123372,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
bullet_train,0.220591912202139,0.19572257794815784,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
ambulance,0.23202074049844057,0.37106725253098904,30,0.9333333333333333,0.9491525423728814,0.9655172413793104,0.9333333333333333
airliner,0.27731012845079744,0.37884076946746664,30,0.9333333333333333,0.9491525423728814,0.9655172413793104,0.9333333333333333
barracouta,0.40072616794686305,0.3750072176569582,30,0.9666666666666667,0.9354838709677419,0.90625,0.9666666666666667
beaker,0.43233184678798725,0.4010199607309072,30,0.9666666666666667,0.9354838709677419,0.90625,0.9666666666666667
agaric,0.3318702315559522,0.38653867316903945,30,0.9,0.9310344827586207,0.9642857142857143,0.9
bolete,0.23615024935034812,0.21866822592882149,30,0.9666666666666667,0.9206349206349206,0.8787878787878788,0.9666666666666667
agama,0.13093230579936505,0.1783847021262586,30,0.9333333333333333,0.9180327868852459,0.9032258064516129,0.9333333333333333
american_lobster,0.23811236274328423,0.3139644591925852,30,0.9333333333333333,0.9180327868852459,0.9032258064516129,0.9333333333333333
bathtub,0.19590961705021595,0.25778796032019663,30,0.9,0.9152542372881356,0.9310344827586207,0.9
arabian_camel,0.22412681332911644,0.18799652503347455,30,0.8666666666666667,0.9122807017543859,0.9629629629629629,0.8666666666666667
african_crocodile,0.1279936119050994,0.217147752709542,30,0.8666666666666667,0.9122807017543859,0.9629629629629629,0.8666666666666667
african_chameleon,0.1588179655824162,0.2253595190305606,30,0.9,0.9,0.9,0.9
carpenter_s_kit,0.38585787889830153,0.3150971653817362,30,0.8666666666666667,0.896551724137931,0.9285714285714286,0.8666666666666667
black_and_gold_garden_spider,0.39803722241975303,0.1897684051811645,30,0.8333333333333334,0.8928571428571429,0.9615384615384616,0.8333333333333334
analog_clock,0.1587199367212329,0.2611673780933785,30,0.8,0.8888888888888888,1.0,0.8
binoculars,0.15679000740836824,0.2411305278109259,30,0.8666666666666667,0.8813559322033898,0.896551724137931,0.8666666666666667
alligator_lizard,0.1650176068635138,0.2436797889787785,30,0.8666666666666667,0.8813559322033898,0.896551724137931,0.8666666666666667
birdhouse,0.2746763513178524,0.2536411584122999,30,0.8333333333333334,0.8771929824561403,0.9259259259259259,0.8333333333333334
cassette,0.2824320965152165,0.33450622962227,30,0.9333333333333333,0.875,0.8235294117647058,0.9333333333333333
candle,0.14052809150803516,0.16207461388098593,30,0.8,0.8727272727272727,0.96,0.8
bow,0.23768592435197575,0.27746901106324096,30,0.9,0.8709677419354839,0.84375,0.9
backpack,0.09914870086872508,0.1331677273160983,30,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
assault_rifle,0.3113875213735683,0.3433008875018035,30,0.8333333333333334,0.8620689655172413,0.8928571428571429,0.8333333333333334
barrel,0.12084326890750027,0.20940382032583454,30,0.8666666666666667,0.8524590163934426,0.8387096774193549,0.8666666666666667
american_chameleon,0.20777676027302508,0.28884335010708706,30,0.8666666666666667,0.8524590163934426,0.8387096774193549,0.8666666666666667
bulletproof_vest,0.3577004698982705,0.33335791054555197,30,0.8333333333333334,0.819672131147541,0.8064516129032258,0.8333333333333334
breastplate,0.17802812306859386,0.24301525059595197,30,0.7666666666666667,0.7931034482758621,0.8214285714285714,0.7666666666666667
spider,0.3254552587122943,0.2904963589984703,30,0.7666666666666667,0.7796610169491526,0.7931034482758621,0.7666666666666667
bucket,0.14319057920901843,0.24028717842741287,30,0.7333333333333333,0.7586206896551724,0.7857142857142857,0.7333333333333333
ant,0.28262683625028107,0.3259927152291888,30,0.8666666666666667,0.5416666666666666,0.3939393939393939,0.8666666666666667
bee,0.19735380158223598,0.2756488105393919,30,0.9333333333333333,0.45161290322580644,0.2978723404255319,0.9333333333333333
cannon,0.4074586745061808,0.38568223515843664,30,0.0,0.0,0.0,0.0
beer_bottle,0.3313190224244782,0.2336435069630433,30,0.0,0.0,0.0,0.0
